,shipment_id,Type,Pieces,Weight,box_original,box_final,pack_date_time,Status,pick_date_time,pick_pack_time,same_box,pieces_over_1,session
0,URcCvPyz082,STANDARD,1,1.29,N1,N1,2022-05-02 14:49:40,Packed On Time,2022-02-05 14:27:09,22.52,True,False,Noon
1,URcFHbRhh82,STANDARD,1,4.4,N7,N7,2022-05-02 14:53:51,Packed On Time,2022-02-05 14:24:50,29.02,True,False,Noon
2,URGMfkwhQ82,STANDARD,1,4.1,SIOC,SIOC,2022-05-02 12:18:41,Packed On Time,2022-02-05 10:18:31,120.17,True,False,Morning
3,URJmKpLh282,STANDARD,1,3.23,N5,N5,2022-05-02 14:36:24,Packed On Time,2022-02-05 13:58:54,37.5,True,False,Noon
4,URCBTVrQY82,STANDARD,1,9.759,SIOC,SIOC,2022-05-02 11:21:22,Packed On Time,2022-02-05 10:10:06,71.27,True,False,Morning
5,URJ61JcQY82,STANDARD,1,2.46,N30,SIOC,2022-05-03 12:43:46,Packed On Time,2022-03-05 10:14:34,149.2,False,False,Morning
6,URckm8gQK82,STANDARD,1,3.36,N30,N30,2022-05-03 06:53:42,Packed On Time,2022-02-05 20:49:59,603.72,True,False,Early Morning
7,URV6zyJ82782,STANDARD,1,4.54,N5,N5,2022-05-03 11:24:18,Packed On Time,2022-03-05 09:59:29,84.82,True,False,Morning
8,UR6FzcK82282,STANDARD,1,2.74,N5,N5,2022-05-03 10:31:31,Packed On Time,2022-03-05 09:15:34,75.95,True,False,Morning
9,URJrdPq82Q82,STANDARD,1,0.5,N30,CUSTOMBOX,2022-05-03 06:56:29,Packed On Time,2022-02-05 20:37:46,618.72,False,False,Early Morning
10,URG1WGM82M82,STANDARD,1,0.39,N7,N7,2022-05-02 18:15:58,Packed On Time,2022-02-05 16:16:55,119.05,True,False,Eve
11,UR1Shgw6582,STANDARD,1,3.32,N1,CUSTOMBOX,2022-05-03 06:32:04,Packed On Time,2022-02-05 20:43:51,588.22,False,False,Early Morning
12,URcS0cLzs82,STANDARD,1,1.75,N7,N7,2022-05-03 08:52:10,Packed On Time,2022-03-05 08:31:45,20.42,True,False,Early Morning
13,URGfGQgzm82,STANDARD,1,1.75,N7,N7,2022-05-03 08:53:43,Packed On Time,2022-03-05 08:31:58,21.75,True,False,Early Morning
14,UR6MdZt82P82,STANDARD,1,9.199,N19,N10,2022-05-02 18:32:56,Packed On Time,2022-02-05 16:48:34,104.37,False,False,Eve
15,UR1VhpB82p82,STANDARD,1,3.71,N17,CUSTOMBOX,2022-05-03 06:17:14,Packed On Time,2022-02-05 20:00:18,616.93,False,False,Early Morning
16,URczZx8hF82,STANDARD,1,6.239,SIOC,SIOC,2022-05-03 09:06:09,Packed On Time,2022-02-05 20:30:05,756.07,True,False,Morning
